PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z
00001	11891767	-9.790791	-0.314567	0.275169	-0.006178	0.004721	0.000156
00002	11891817	-9.793962	-0.284862	0.266489	-0.003649	0.000504	-0.000162
00003	11891867	-9.788009	-0.292730	0.281940	-0.001595	0.002079	-0.004072
00004	11891917	-9.806449	-0.301334	0.276019	-0.004141	0.002685	-0.002357
00005	11891967	-9.801782	-0.309807	0.271430	-0.005069	0.002666	-0.003831
00006	11892017	-9.789397	-0.281881	0.252222	-0.006251	0.002447	-0.004822
00007	11892067	-9.812224	-0.288607	0.260419	-0.008888	0.003148	-0.002758
00008	11892117	-9.818409	-0.302030	0.247853	-0.004514	0.001127	-0.003709
00009	11892167	-9.803854	-0.306570	0.253968	-0.005886	0.003595	0.001080
00010	11892217	-9.826134	-0.296987	0.255620	-0.005647	-0.001183	-0.001349
00011	11892267	-9.790126	-0.298591	0.250917	-0.003790	-0.000378	-0.002119
00012	11892317	-9.813240	-0.304813	0.265332	-0.006984	-0.000463	-0.002783
00013	11892367	-9.805964	-0.313617	0.262519	-0.004442	-0.000902	-0.000069
00014	11892417	-9.799225	-0.306454	0.274364	-0.004524	0.000644	-0.002916
00015	11892467	-9.799668	-0.311206	0.279076	-0.000946	0.003097	-0.000507
00016	11892517	-9.793040	-0.306553	0.275548	-0.004210	0.000815	-0.000606
00017	11892567	-9.802939	-0.305255	0.257637	-0.004625	0.000837	-0.000859
00018	11892617	-9.826263	-0.296834	0.275921	-0.006921	0.001699	-0.001555
00019	11892667	-9.808602	-0.316416	0.270745	-0.002288	0.003017	0.000238
00020	11892717	-9.815699	-0.302646	0.273487	-0.005162	-0.000562	-0.003591
00021	11892767	-9.815715	-0.301457	0.273770	-0.005451	0.000562	-0.003615
00022	11892817	-9.817282	-0.312893	0.280204	-0.004271	0.000780	-0.001308
00023	11892867	-9.797225	-0.294940	0.275338	-0.006556	0.000649	0.002637
00024	11892917	-9.797994	-0.288030	0.270452	-0.004990	0.003415	0.000115
00025	11892967	-9.809696	-0.266106	0.269937	-0.006318	-0.001802	0.003009
00026	11893017	-9.793729	-0.296662	0.291328	-0.003429	0.000370	-0.003752
00027	11893067	-9.788671	-0.294409	0.277130	-0.005504	0.002473	0.000207
00028	11893117	-9.817455	-0.277766	0.277048	-0.002029	0.001951	0.000072
00029	11893167	-9.812101	-0.272849	0.286607	-0.005876	0.001076	-0.001401
00030	11893217	-9.825746	-0.280480	0.275897	-0.001937	0.002690	-0.003995
00031	11893267	-9.807428	-0.278377	0.273499	-0.005484	-0.002638	-0.004786
00032	11893317	-9.811071	-0.281660	0.292181	-0.003292	0.001316	-0.000507
00033	11893367	-9.832494	-0.275606	0.278416	-0.002132	-0.003287	-0.002203
00034	11893417	-9.807122	-0.284267	0.275313	-0.003472	0.003894	-0.001743
00035	11893467	-9.796323	-0.272264	0.275470	-0.003668	0.004049	-0.001933
00036	11893517	-9.805418	-0.271712	0.282602	-0.003363	-0.001590	-0.000042
00037	11893567	-9.807364	-0.256823	0.296693	-0.001115	0.000024	-0.003085
00038	11893617	-9.806330	-0.277208	0.285551	-0.003823	0.004116	0.000724
00039	11893667	-9.804298	-0.293212	0.260260	-0.004645	0.001448	-0.002331
00040	11893717	-9.816998	-0.283184	0.289736	-0.004312	0.001099	-0.003233
00041	11893767	-9.817336	-0.293486	0.249199	-0.002228	0.003946	-0.002003
00042	11893817	-9.822980	-0.292010	0.273950	-0.005130	0.002635	-0.001393
00043	11893867	-9.807102	-0.324366	0.275584	-0.003763	0.002817	-0.003865
00044	11893917	-9.804579	-0.303689	0.249679	-0.003956	0.004081	-0.000300
00045	11893967	-9.810050	-0.294593	0.267214	-0.003280	0.000697	-0.002626
00046	11894017	-9.809325	-0.310075	0.259316	-0.004070	0.000718	0.000324
00047	11894067	-9.809421	-0.332856	0.242759	-0.005943	0.003171	-0.001771
00048	11894117	-9.812717	-0.290563	0.268237	-0.001468	-0.001009	-0.001198
00049	11894167	-9.814014	-0.303975	0.273168	-0.001151	0.003257	-0.002202
00050	11894217	-9.806087	-0.321929	0.260012	-0.001898	0.000594	-0.001027
00051	11894267	-9.813048	-0.312672	0.250474	-0.007795	-0.000221	-0.003070
00052	11894317	-9.810792	-0.288332	0.259329	-0.002588	0.001099	-0.002338
00053	11894367	-9.806928	-0.294760	0.263833	-0.005178	0.002147	-0.003228
00054	11894417	-9.810129	-0.316316	0.247103	-0.006143	-0.000542	0.000096
00055	11894467	-9.816372	-0.301302	0.263665	-0.003423	0.000016	-0.003432
00056	11894517	-9.813874	-0.286763	0.254946	-0.004508	0.004654	0.001244
00057	11894567	-9.812459	-0.300668	0.245863	-0.003333	0.001634	-0.000443
00058	11894617	-9.808043	-0.306743	0.276205	-0.005659	-0.002924	-0.000363
00059	11894667	-9.810705	-0.293281	0.255455	-0.002776	0.001994	-0.003459
00060	11894717	-9.811412	-0.294953	0.296804	-0.000695	-0.002926	0.001031
00061	11894767	-9.809123	-0.281780	0.285461	-0.002566	-0.000476	-0.000812
00062	11894817	-9.802562	-0.285078	0.269171	-0.003524	-0.001732	-0.003119
00063	11894867	-9.789922	-0.309964	0.279094	-0.002495	0.002196	-0.001729
00064	11894917	-9.793095	-0.298829	0.268280	-0.002857	0.003843	-0.000145
00065	11894967	-9.783731	-0.314783	0.290837	-0.004376	0.000132	-0.001349
00066	11895017	-9.793119	-0.302688	0.280345	-0.006307	-0.001713	-0.003371
00067	11895067	-9.813479	-0.289496	0.272730	-0.005119	0.002375	-0.002036
00068	11895117	-9.809224	-0.307715	0.315749	-0.004406	0.005933	-0.005417
00069	11895167	-9.800344	-0.313320	0.277207	-0.005802	0.002819	0.000113
00070	11895217	-9.802423	-0.303703	0.285876	-0.001445	0.001673	0.001507
00071	11895267	-9.802723	-0.294895	0.277788	-0.003303	-0.000787	-0.003534
00072	11895317	-9.798971	-0.320742	0.262624	-0.004508	0.001260	-0.000731
00073	11895367	-9.794281	-0.303347	0.276727	-0.004896	0.003251	-0.002321
00074	11895417	-9.811841	-0.305557	0.271453	-0.009187	0.004696	-0.000380
00075	11895467	-9.808419	-0.287327	0.259022	-0.005266	0.004085	-0.001258
00076	11895517	-9.809346	-0.303210	0.287036	-0.005113	0.004151	-0.002570
00077	11895567	-9.806976	-0.301266	0.246805	-0.009677	0.003108	0.000415
00078	11895617	-9.802091	-0.323441	0.272009	-0.004786	0.001064	0.000873
00079	11895667	-9.793386	-0.293794	0.228522	-0.003875	0.001430	-0.002017
00080	11895717	-9.801354	-0.285645	0.229716	-0.001009	0.002702	-0.003105
00081	11895767	-9.792221	-0.283850	0.252551	-0.001155	0.001614	0.000253
00082	11895817	-9.802287	-0.304035	0.225685	-0.000533	0.003039	-0.001693
00083	11895867	-9.816186	-0.310566	0.253314	-0.002307	0.002362	-0.002174
00084	11895917	-9.787759	-0.291497	0.238195	-0.004482	-0.001779	-0.002284
00085	11895967	-9.816516	-0.300317	0.247389	-0.002746	-0.000069	-0.002375
00086	11896017	-9.811993	-0.298830	0.282492	-0.002111	0.003371	-0.000308
00087	11896067	-9.804693	-0.299841	0.260343	-0.002853	-0.001616	-0.001039
00088	11896117	-9.787243	-0.307781	0.266246	-0.005577	-0.002567	-0.000654
00089	11896167	-9.804039	-0.303644	0.277535	-0.006604	-0.000326	-0.001086
00090	11896217	-9.802752	-0.293079	0.278761	-0.000437	-0.000319	-0.003185
00091	11896267	-9.795650	-0.312018	0.285839	-0.002881	0.001223	-0.002048
00092	11896317	-9.805402	-0.296969	0.292991	-0.007428	-0.004239	0.003478
00093	11896367	-9.795249	-0.314611	0.303468	-0.004151	-0.002959	0.000431
00094	11896417	-9.801330	-0.298016	0.290695	-0.002490	-0.000436	0.004382
00095	11896467	-9.825393	-0.294904	0.286855	-0.005758	-0.003060	-0.003758
00096	11896517	-9.803716	-0.303324	0.301526	-0.002091	-0.001443	-0.001553
00097	11896567	-9.819130	-0.274667	0.310186	-0.003716	0.000731	-0.000381
00098	11896617	-9.815056	-0.273640	0.303853	-0.001523	0.001921	-0.002272
00099	11896667	-9.819374	-0.284636	0.293579	-0.003476	0.004251	-0.000235
00100	11896717	-9.811661	-0.292391	0.294379	-0.007262	0.000343	-0.000790
00101	11896767	-9.814930	-0.275744	0.286792	-0.005139	0.004088	-0.001703
00102	11896817	-9.785000	-0.293816	0.298689	-0.004736	0.003415	-0.001967
00103	11896867	-9.803472	-0.279855	0.253017	-0.002434	0.004423	-0.002162
00104	11896917	-9.807189	-0.274106	0.264329	-0.005445	0.001629	-0.002200
00105	11896967	-9.803512	-0.286548	0.271878	-0.004984	0.005218	-0.003015
00106	11897017	-9.802987	-0.306499	0.266429	-0.003526	0.003734	-0.001007
00107	11897067	-9.782094	-0.290318	0.244121	-0.002933	0.001866	-0.000956
00108	11897117	-9.811571	-0.283891	0.261840	-0.005615	0.004883	-0.004136
00109	11897167	-9.784871	-0.299335	0.249548	-0.003543	0.004786	-0.004978
00110	11897217	-9.800886	-0.278400	0.255616	-0.003694	0.002755	-0.002872
00111	11897267	-9.796741	-0.300241	0.245636	-0.005040	0.000898	-0.000860
00112	11897317	-9.795582	-0.316857	0.245278	-0.004048	0.003912	-0.002547
00113	11897367	-9.797857	-0.289222	0.248932	-0.003637	0.000751	-0.003809
00114	11897417	-9.793433	-0.315082	0.241756	-0.003077	0.001509	-0.000928
00115	11897467	-9.793314	-0.291826	0.251627	-0.006348	-0.002620	-0.003956
00116	11897517	-9.805473	-0.289526	0.249858	-0.001609	-0.004663	-0.001794
00117	11897567	-9.809027	-0.295412	0.259302	-0.003035	0.000087	-0.001735
00118	11897617	-9.799755	-0.313969	0.260136	-0.001325	-0.003459	-0.000250
00119	11897667	-9.816465	-0.315534	0.270187	-0.003234	-0.001553	0.001430
00120	11897717	-9.815995	-0.301783	0.282127	-0.002643	0.001770	-0.002845
00121	11897767	-9.832535	-0.287249	0.269291	-0.004721	0.000900	-0.001305
