PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z
00001	13286917	-9.782008	-0.292227	0.289761	-0.002199	0.001510	-0.002078
00002	13286967	-9.797768	-0.292063	0.295861	-0.003422	0.001910	-0.000923
00003	13287017	-9.789420	-0.298049	0.267605	-0.004808	0.001215	0.001868
00004	13287067	-9.801542	-0.298373	0.302612	-0.006557	-0.000371	-0.002459
00005	13287117	-9.850827	-0.292509	0.289735	-0.004914	-0.001302	0.003079
00006	13287167	-9.821548	-0.300139	0.307575	-0.005870	-0.001911	-0.002472
00007	13287217	-9.786110	-0.288289	0.290452	-0.005207	0.003526	-0.001609
00008	13287267	-9.786434	-0.284102	0.297075	-0.003681	0.000778	-0.000829
00009	13287317	-9.776666	-0.281778	0.291647	-0.004346	0.002670	-0.000533
00010	13287367	-9.791816	-0.275142	0.300833	-0.003885	0.001393	0.000906
00011	13287417	-9.789279	-0.303045	0.293882	-0.003715	0.003070	-0.000495
00012	13287467	-9.800893	-0.278833	0.312659	-0.004265	0.001059	-0.001115
00013	13287517	-9.787486	-0.296954	0.299582	-0.002519	0.003642	-0.000081
00014	13287567	-9.803159	-0.279187	0.294643	0.001226	0.004274	-0.005089
00015	13287617	-9.812719	-0.285133	0.312508	0.001422	0.000119	-0.002670
00016	13287667	-9.788527	-0.293057	0.305865	-0.003996	0.001904	0.000458
00017	13287717	-9.792313	-0.291705	0.300829	-0.002708	0.003177	-0.005145
00018	13287767	-9.813422	-0.280477	0.300503	-0.004518	-0.000076	-0.001183
00019	13287817	-9.820255	-0.296744	0.323369	-0.004327	-0.000913	0.000928
00020	13287867	-9.822359	-0.288450	0.299917	-0.007085	-0.001934	-0.002629
00021	13287917	-9.783753	-0.296123	0.311219	-0.003817	-0.002002	-0.000814
00022	13287967	-9.800250	-0.275312	0.318621	-0.008249	0.003928	0.001477
00023	13288017	-9.788715	-0.278659	0.308548	-0.005165	0.001038	-0.003196
00024	13288067	-9.790715	-0.286585	0.300633	-0.004654	0.000309	-0.000735
00025	13288117	-9.816443	-0.268485	0.303874	-0.004675	0.001822	-0.003090
00026	13288167	-9.807475	-0.272157	0.285917	-0.006865	0.000069	-0.003418
00027	13288217	-9.823814	-0.284471	0.295797	-0.006761	0.002310	0.000953
00028	13288267	-9.827902	-0.263505	0.298704	-0.003657	-0.000900	-0.000289
00029	13288317	-9.816998	-0.281920	0.265805	-0.004454	0.001888	-0.002483
00030	13288367	-9.795047	-0.280818	0.295315	-0.005413	0.003266	0.000149
00031	13288417	-9.803622	-0.275865	0.284339	-0.004095	0.002670	-0.002548
00032	13288467	-9.812416	-0.276560	0.283991	0.002064	0.000401	0.000667
00033	13288517	-9.808582	-0.278033	0.285092	-0.004338	0.004476	-0.000902
00034	13288567	-9.792297	-0.291054	0.295925	-0.002523	0.000603	-0.000189
00035	13288617	-9.807333	-0.281261	0.280481	-0.001305	0.005660	-0.000806
00036	13288667	-9.801600	-0.290750	0.297859	-0.002885	-0.000276	-0.002247
00037	13288717	-9.806904	-0.295079	0.278921	-0.001160	0.000855	-0.002529
00038	13288767	-9.812275	-0.285298	0.318692	-0.004917	0.002366	-0.003601
00039	13288817	-9.797896	-0.290010	0.274296	-0.005533	0.003042	0.000665
00040	13288867	-9.805688	-0.282527	0.287699	-0.002772	0.002506	-0.000597
00041	13288917	-9.817633	-0.284293	0.296735	-0.003086	0.001169	-0.003264
00042	13288967	-9.795950	-0.300873	0.289920	-0.006469	-0.000783	0.001768
00043	13289017	-9.794693	-0.293218	0.302117	-0.004917	-0.001468	0.001021
00044	13289067	-9.806885	-0.287008	0.297646	-0.002412	-0.000751	-0.000393
00045	13289117	-9.798883	-0.300183	0.301721	-0.005744	-0.002905	-0.000524
00046	13289167	-9.801686	-0.303788	0.299411	-0.005302	0.003622	-0.000907
00047	13289217	-9.823858	-0.290468	0.314931	-0.003736	0.001650	0.000527
