PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z
00001	12148417	9.827142	0.359889	0.252553	-0.003733	0.001882	-0.000443
00002	12148467	9.824719	0.354002	0.233356	-0.005575	0.001525	-0.000277
00003	12148517	9.815851	0.373503	0.240379	-0.004681	0.001508	-0.002878
00004	12148567	9.820500	0.349579	0.268863	-0.003179	0.001573	-0.000956
00005	12148617	9.816370	0.354619	0.232608	-0.004109	-0.001350	-0.000264
00006	12148667	9.772654	0.359619	0.244847	-0.002350	0.000551	-0.001474
00007	12148717	9.787126	0.329817	0.236639	-0.002485	-0.000228	-0.002218
00008	12148767	9.774440	0.342447	0.221389	-0.003816	0.000232	-0.003818
00009	12148817	9.779474	0.342460	0.255401	-0.003183	0.001698	-0.001817
00010	12148867	9.803322	0.346335	0.240928	-0.004637	0.001026	-0.002621
00011	12148917	9.836122	0.344913	0.255802	-0.004413	0.000524	0.002403
00012	12148967	9.828412	0.351526	0.256121	-0.005510	0.001498	0.000229
00013	12149017	9.835002	0.358717	0.254806	-0.003672	0.000243	0.001953
00014	12149067	9.841816	0.360606	0.266758	-0.006604	-0.000329	-0.001858
00015	12149117	9.829764	0.346278	0.240846	-0.006576	0.004131	0.001436
00016	12149167	9.821353	0.346160	0.253463	-0.004499	0.000668	-0.003010
00017	12149217	9.793522	0.347647	0.245558	-0.005670	0.002988	0.003643
00018	12149267	9.800157	0.355792	0.234622	-0.004970	0.000441	-0.001597
00019	12149317	9.792754	0.360852	0.227041	-0.005832	0.000359	-0.002621
00020	12149367	9.793825	0.360985	0.246500	-0.001934	0.001659	-0.000541
00021	12149417	9.801992	0.360759	0.235524	-0.006679	0.006218	-0.001658
00022	12149467	9.817229	0.342518	0.234921	-0.003017	0.003605	-0.001270
00023	12149517	9.797263	0.364897	0.260399	-0.001799	0.004596	-0.000910
00024	12149567	9.817098	0.364338	0.250879	-0.003822	0.000522	-0.002662
00025	12149617	9.811774	0.357800	0.238473	-0.002515	0.000972	0.000292
00026	12149667	9.831933	0.363709	0.240247	-0.003222	0.001922	-0.002045
00027	12149717	9.818879	0.362914	0.234804	-0.004505	0.001099	0.001415
00028	12149767	9.794288	0.358365	0.254076	-0.004074	-0.000712	-0.004812
00029	12149817	9.811853	0.363396	0.215197	-0.004075	0.001419	-0.002205
00030	12149867	9.781588	0.374327	0.233730	-0.005732	0.004634	-0.000163
00031	12149917	9.778900	0.354483	0.247042	-0.004704	0.003132	-0.003185
