PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z
00001	13448267	9.860691	0.367865	0.266536	-0.006165	0.001921	-0.001058
00002	13448317	9.844704	0.362714	0.282368	-0.000873	-0.000601	-0.002462
00003	13448367	9.815613	0.352933	0.269407	-0.001492	0.003042	0.001408
00004	13448417	9.798801	0.331988	0.295586	-0.003278	0.001747	-0.000995
00005	13448467	9.792781	0.333116	0.265229	-0.002969	0.001913	-0.001349
00006	13448517	9.805086	0.344574	0.255224	-0.004841	-0.000706	-0.001968
00007	13448567	9.780452	0.344231	0.273617	-0.002550	0.000723	-0.002155
00008	13448617	9.800265	0.328899	0.257440	-0.003794	-0.000491	-0.002901
00009	13448667	9.808782	0.345033	0.274228	-0.003367	0.001455	-0.000521
00010	13448717	9.826164	0.327485	0.270561	-0.004476	0.003146	-0.001375
00011	13448767	9.822996	0.347536	0.279568	-0.004172	-0.001697	-0.002585
00012	13448817	9.812093	0.345987	0.274895	-0.007856	0.000797	0.000516
00013	13448867	9.836843	0.332681	0.264477	-0.002831	-0.000177	0.001200
00014	13448917	9.810542	0.364032	0.258340	-0.007070	0.000033	-0.000064
00015	13448967	9.826105	0.339790	0.255170	-0.002530	-0.000825	-0.000405
00016	13449017	9.799084	0.348038	0.255981	-0.002839	-0.000085	0.000148
00017	13449067	9.785429	0.338009	0.250844	-0.004621	0.001528	-0.000958
00018	13449117	9.784950	0.353011	0.259888	-0.002325	0.000694	-0.002030
00019	13449167	9.795950	0.352454	0.252582	-0.004619	-0.002837	-0.004769
00020	13449217	9.810390	0.336307	0.261264	-0.006753	0.002066	-0.004449
00021	13449267	9.824007	0.334186	0.258485	-0.002994	-0.000052	0.001585
00022	13449317	9.840051	0.341978	0.267133	-0.001751	0.003002	0.000414
00023	13449367	9.823580	0.365290	0.265764	-0.004604	0.001949	-0.002565
00024	13449417	9.820238	0.378078	0.278442	-0.005944	-0.000040	-0.000554
00025	13449467	9.815141	0.358826	0.256642	-0.000983	0.001016	0.001492
00026	13449517	9.789889	0.357769	0.260482	-0.002149	0.004482	-0.000793
00027	13449567	9.789376	0.340922	0.260950	-0.002664	0.003535	0.000167
00028	13449617	9.801052	0.342214	0.258664	-0.002891	0.001726	0.002400
00029	13449667	9.814295	0.349256	0.258313	-0.006269	-0.000559	0.003902
00030	13449717	9.813499	0.355750	0.258854	-0.005694	0.001090	-0.001445
00031	13449767	9.801369	0.349174	0.268982	-0.006871	0.002645	-0.003608
00032	13449817	9.811381	0.363005	0.278252	-0.002637	0.002857	0.001092
00033	13449867	9.820498	0.350389	0.292927	-0.004727	0.003999	-0.002570
00034	13449917	9.825681	0.360794	0.280804	-0.003908	0.000360	-0.001554
00035	13449967	9.821365	0.361594	0.284412	-0.002518	-0.000068	0.000751
00036	13450017	9.813013	0.372115	0.265536	-0.005581	0.001485	-0.004812
00037	13450067	9.809662	0.364042	0.284296	-0.005634	0.001561	0.001694
00038	13450117	9.801552	0.340968	0.255480	-0.001450	-0.000636	-0.000570
00039	13450167	9.803840	0.362659	0.266776	-0.002842	0.000958	-0.002193
00040	13450217	9.793954	0.334704	0.265627	-0.003157	0.001189	0.002489
00041	13450267	9.764093	0.347398	0.254354	-0.003261	0.002374	-0.000038
00042	13450317	9.802264	0.338713	0.260070	-0.005509	0.000658	0.000923
00043	13450367	9.804564	0.345674	0.260092	-0.003619	0.002396	-0.001189
00044	13450417	9.810296	0.363735	0.260055	-0.007168	0.001464	0.000642
00045	13450467	9.814986	0.345908	0.269126	-0.004341	-0.000203	-0.002613
00046	13450517	9.819098	0.354878	0.239386	-0.003056	0.002122	0.003000
00047	13450567	9.819053	0.330983	0.257874	-0.002474	0.001480	-0.001615
00048	13450617	9.798720	0.349141	0.274479	-0.000515	-0.000713	-0.001181
00049	13450667	9.796070	0.357577	0.261809	-0.005598	0.000396	0.000598
00050	13450717	9.811699	0.331436	0.252159	-0.000873	0.003673	-0.001065
00051	13450767	9.809439	0.337217	0.260252	-0.005842	-0.000259	-0.001807
00052	13450817	9.804641	0.347260	0.244729	-0.004937	0.000570	-0.000008
