PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z
00001	12357467	0.228276	-9.802629	0.176264	-0.001182	0.000728	0.003178
00002	12357517	0.223533	-9.797601	0.184614	-0.005221	0.001585	-0.002003
00003	12357567	0.216246	-9.787076	0.188631	0.000976	0.005051	-0.002415
00004	12357617	0.223664	-9.778034	0.177721	-0.002431	-0.001857	-0.003629
00005	12357667	0.202422	-9.768848	0.179777	-0.000717	-0.000109	-0.001153
00006	12357717	0.214127	-9.772582	0.185237	0.000260	0.001357	-0.002272
00007	12357767	0.218496	-9.797227	0.187015	-0.004728	-0.000762	-0.001279
00008	12357817	0.219932	-9.798102	0.183446	-0.003909	0.001708	-0.001074
00009	12357867	0.224720	-9.810307	0.163186	0.000551	0.000042	-0.001092
00010	12357917	0.208331	-9.797272	0.181490	-0.008462	-0.001314	-0.002967
00011	12357967	0.227036	-9.793981	0.198748	-0.003619	0.004414	-0.004715
00012	12358017	0.206570	-9.792142	0.186124	-0.004309	0.001084	-0.001972
00013	12358067	0.215627	-9.779760	0.175348	-0.002374	0.000770	0.001255
00014	12358117	0.205521	-9.774375	0.187259	-0.007576	0.000449	0.000022
00015	12358167	0.220504	-9.790760	0.184912	-0.003248	0.002106	0.000270
00016	12358217	0.206212	-9.764915	0.174178	-0.003703	0.002425	0.000340
00017	12358267	0.204485	-9.774447	0.175281	-0.007308	0.003035	-0.000447
00018	12358317	0.206736	-9.781245	0.172006	-0.003912	0.001769	-0.001135
00019	12358367	0.219349	-9.794781	0.182430	-0.006719	0.000630	0.001170
00020	12358417	0.212928	-9.778893	0.193493	-0.005659	-0.000350	0.001997
00021	12358467	0.231201	-9.791872	0.172855	-0.003425	0.000357	-0.002619
00022	12358517	0.221348	-9.811971	0.176287	-0.001528	0.002330	-0.000980
00023	12358567	0.218195	-9.799625	0.173134	-0.002223	-0.000236	-0.003365
00024	12358617	0.208101	-9.789147	0.193355	-0.004351	0.000533	-0.000725
00025	12358667	0.214887	-9.791475	0.180448	-0.000479	0.001413	-0.000639
00026	12358717	0.220495	-9.786849	0.176916	-0.006592	0.004827	0.000264
00027	12358767	0.221554	-9.770532	0.181459	-0.005431	0.002094	-0.002923
00028	12358817	0.229207	-9.801105	0.185824	-0.004531	0.001411	0.001903
00029	12358867	0.223036	-9.791743	0.173530	-0.006938	-0.000867	-0.002459
00030	12358917	0.224757	-9.808247	0.200057	-0.000566	0.001221	0.000004
00031	12358967	0.211959	-9.790576	0.196671	-0.004302	-0.001305	-0.002789
00032	12359017	0.217258	-9.783021	0.172445	-0.003953	0.000832	-0.002939
00033	12359067	0.243708	-9.791252	0.204689	-0.002371	0.000672	0.000292
00034	12359117	0.204097	-9.781444	0.198596	-0.003832	0.001617	0.001620
00035	12359167	0.223009	-9.776814	0.190460	-0.001672	0.004748	-0.002379
00036	12359217	0.224537	-9.786069	0.191766	-0.005702	-0.000424	-0.002459
00037	12359267	0.209618	-9.771150	0.196420	-0.004815	-0.001351	-0.005093
00038	12359317	0.210314	-9.776008	0.189009	-0.001974	0.001226	-0.000343
00039	12359367	0.215124	-9.796376	0.190954	-0.002325	0.004383	-0.000297
00040	12359417	0.207772	-9.789996	0.202178	-0.007291	-0.001545	0.000138
00041	12359467	0.218616	-9.797563	0.177993	-0.001296	-0.000283	-0.004169
00042	12359517	0.205472	-9.774188	0.205548	-0.005734	0.001871	-0.000425
00043	12359567	0.213981	-9.784825	0.194495	-0.003440	0.001975	-0.001937
00044	12359617	0.217998	-9.779847	0.198180	-0.000960	0.000333	-0.003849
00045	12359667	0.206852	-9.786726	0.189479	-0.006314	0.000054	0.000400
00046	12359717	0.223100	-9.783495	0.192687	-0.007071	0.002455	-0.002570
00047	12359767	0.233164	-9.788565	0.191131	-0.001038	0.002754	-0.003419
00048	12359817	0.217864	-9.777368	0.191191	-0.002637	0.001492	-0.005565
00049	12359867	0.214763	-9.776506	0.163518	-0.005232	0.002134	0.000283
00050	12359917	0.203299	-9.765201	0.159570	-0.004207	-0.003049	-0.000697
00051	12359967	0.209260	-9.788709	0.165510	-0.004871	0.001745	-0.002756
00052	12360017	0.201488	-9.787313	0.176807	-0.002550	0.005633	0.001074
00053	12360067	0.206683	-9.784020	0.182844	-0.002448	-0.000212	-0.001968
00054	12360117	0.220804	-9.788668	0.171928	-0.003850	0.005127	0.000273
00055	12360167	0.217034	-9.793021	0.189942	-0.004192	0.002598	-0.001470
00056	12360217	0.216471	-9.793852	0.166720	-0.002390	-0.001924	-0.002206
00057	12360267	0.238100	-9.785164	0.173964	-0.006081	-0.000337	0.000086
00058	12360317	0.213869	-9.771754	0.192876	-0.002627	0.001658	-0.001962
00059	12360367	0.215953	-9.776066	0.198298	-0.005108	0.004652	0.001428
00060	12360417	0.226033	-9.779315	0.185333	-0.004281	0.000637	0.001946
00061	12360467	0.220189	-9.792997	0.175435	-0.005802	0.002924	-0.002875
00062	12360517	0.215329	-9.783535	0.188928	-0.005481	0.001763	-0.003847
00063	12360567	0.210457	-9.767633	0.184844	-0.007237	0.003065	0.001007
00064	12360617	0.227001	-9.798109	0.205201	-0.005192	0.001741	-0.000960
00065	12360667	0.230876	-9.784107	0.192565	-0.001483	0.001004	-0.000048
00066	12360717	0.240921	-9.790585	0.190421	-0.000687	0.003507	0.002976
00067	12360767	0.221942	-9.795354	0.175949	-0.004827	-0.002035	-0.004441
00068	12360817	0.211457	-9.779170	0.195247	-0.003856	0.001387	0.000571
00069	12360867	0.227129	-9.801680	0.190846	-0.005653	0.000215	-0.000935
00070	12360917	0.217581	-9.779369	0.182519	-0.001910	0.003215	-0.002471
00071	12360967	0.209108	-9.769612	0.188637	-0.000161	0.000506	-0.002422
00072	12361017	0.224058	-9.796276	0.175677	-0.005414	-0.001522	-0.001809
00073	12361067	0.220624	-9.794847	0.188065	-0.002533	0.000754	-0.001647
00074	12361117	0.228452	-9.791580	0.182985	-0.001259	0.002072	0.000313
00075	12361167	0.237433	-9.810841	0.192942	-0.002361	0.003538	0.000388
00076	12361217	0.211635	-9.790216	0.204367	-0.003890	0.005415	-0.000751
00077	12361267	0.223214	-9.786882	0.212378	-0.005784	0.000179	-0.002056
00078	12361317	0.217773	-9.775878	0.186584	-0.005117	0.005779	-0.001900
00079	12361367	0.221191	-9.781956	0.183159	-0.004838	0.001814	-0.001439
00080	12361417	0.215776	-9.773557	0.172614	-0.005624	0.001017	-0.005355
00081	12361467	0.225352	-9.793126	0.187947	-0.004009	0.002791	-0.002754
00082	12361517	0.197343	-9.765220	0.186084	-0.006670	-0.001702	0.000852
00083	12361567	0.220493	-9.768090	0.191366	-0.002630	-0.001381	-0.002075
00084	12361617	0.212462	-9.797576	0.189554	-0.008819	0.000392	0.000997
00085	12361667	0.206401	-9.799131	0.177299	-0.003479	0.001359	0.000028
00086	12361717	0.222909	-9.796614	0.166259	-0.001513	-0.002455	-0.001859
00087	12361767	0.216129	-9.784769	0.192779	-0.005101	0.002131	-0.000864
00088	12361817	0.211650	-9.788285	0.186588	-0.004717	0.000367	0.003006
00089	12361867	0.219474	-9.791492	0.169783	-0.003395	0.003677	-0.002205
00090	12361917	0.219791	-9.778736	0.204195	-0.006448	-0.000959	-0.001840
00091	12361967	0.205222	-9.782106	0.180641	-0.004485	0.000625	-0.001863
00092	12362017	0.209687	-9.769038	0.167168	-0.004853	0.003460	-0.000662
00093	12362067	0.210527	-9.781393	0.184163	-0.006112	-0.000604	-0.003503
00094	12362117	0.221922	-9.789240	0.195024	-0.001768	0.002836	-0.001891
00095	12362167	0.205837	-9.789659	0.178514	-0.002930	0.001170	-0.000807
00096	12362217	0.218294	-9.799098	0.185114	-0.005516	0.000894	-0.001766
00097	12362267	0.218075	-9.801014	0.186778	-0.005482	-0.001104	-0.000688
00098	12362317	0.240492	-9.799030	0.199119	-0.005337	0.002650	0.001349
00099	12362367	0.224333	-9.793962	0.210830	0.000471	0.002546	-0.004371
