PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z
00001	13605217	0.220945	-9.755181	0.169809	-0.003333	0.005575	0.000072
00002	13605267	0.234657	-9.776319	0.182183	-0.003504	0.001631	-0.001682
00003	13605317	0.209926	-9.777098	0.182273	-0.005894	0.002559	-0.000805
00004	13605367	0.235899	-9.780533	0.179756	-0.005059	0.000547	0.003252
00005	13605417	0.222868	-9.785743	0.184028	-0.001299	0.001966	0.000560
00006	13605467	0.223344	-9.800605	0.178419	-0.004641	-0.000837	-0.000573
00007	13605517	0.239066	-9.790568	0.186898	-0.005136	0.002031	0.001052
00008	13605567	0.224792	-9.764005	0.175668	-0.008532	0.000028	0.000920
00009	13605617	0.208402	-9.756823	0.204176	-0.008475	-0.000843	0.000245
00010	13605667	0.195887	-9.741822	0.175630	-0.005326	-0.000072	0.001045
00011	13605717	0.203345	-9.762983	0.184737	-0.004835	0.001317	-0.001292
00012	13605767	0.206955	-9.791718	0.189266	-0.003965	0.003436	-0.000355
00013	13605817	0.215416	-9.787841	0.206439	-0.005130	0.004669	-0.001597
00014	13605867	0.208417	-9.791620	0.184193	-0.006070	0.003175	0.000387
00015	13605917	0.214914	-9.797300	0.188822	-0.001414	0.003517	-0.000169
00016	13605967	0.219466	-9.790795	0.186139	-0.002771	0.000514	-0.002073
00017	13606017	0.211514	-9.790740	0.191965	-0.002909	0.003257	-0.000232
00018	13606067	0.211865	-9.800539	0.196290	-0.009323	0.004825	0.000083
00019	13606117	0.203117	-9.761324	0.184170	-0.006634	0.002514	-0.002624
00020	13606167	0.199940	-9.763499	0.199843	-0.002322	0.000786	-0.001335
00021	13606217	0.208685	-9.772783	0.193755	-0.006395	0.004131	-0.001018
00022	13606267	0.203402	-9.783792	0.180402	-0.005923	0.000135	-0.002933
00023	13606317	0.205065	-9.779346	0.170180	-0.002196	-0.000315	-0.001724
00024	13606367	0.191129	-9.768158	0.171658	-0.003694	0.004726	-0.003297
00025	13606417	0.210878	-9.795527	0.178083	0.000513	0.000255	0.000993
00026	13606467	0.216928	-9.802923	0.154653	-0.005652	0.001689	-0.003793
00027	13606517	0.217398	-9.793985	0.159999	-0.003098	-0.001974	-0.000034
00028	13606567	0.200801	-9.776400	0.175859	-0.006155	-0.000710	-0.003641
00029	13606617	0.221035	-9.793500	0.162227	-0.009032	-0.001696	-0.002457
00030	13606667	0.222125	-9.777495	0.171198	-0.006264	-0.000900	0.000845
00031	13606717	0.207604	-9.773474	0.160230	-0.003983	0.006054	0.000942
00032	13606767	0.227529	-9.783624	0.173332	-0.004979	0.001603	-0.002766
00033	13606817	0.207102	-9.769065	0.166708	-0.004729	0.003001	-0.000677
00034	13606867	0.228538	-9.779401	0.177168	-0.003818	-0.001536	0.000322
00035	13606917	0.215846	-9.786650	0.174782	-0.007793	-0.001444	-0.001813
00036	13606967	0.241862	-9.777785	0.175617	-0.005125	-0.001591	0.000293
00037	13607017	0.229255	-9.800361	0.183228	-0.002141	0.000241	-0.000190
00038	13607067	0.234715	-9.797796	0.175446	-0.004677	-0.004581	0.002102
00039	13607117	0.226861	-9.808467	0.168314	-0.004213	0.002848	-0.002574
00040	13607167	0.232044	-9.783436	0.179778	-0.006299	0.001900	-0.003948
00041	13607217	0.223241	-9.774686	0.206419	-0.005666	0.003897	0.002697
00042	13607267	0.238974	-9.778275	0.189393	-0.003969	-0.001797	-0.001380
00043	13607317	0.220923	-9.759844	0.179841	-0.004797	0.001027	-0.001389
00044	13607367	0.212903	-9.763694	0.207713	-0.003901	0.002340	0.000377
00045	13607417	0.246124	-9.806726	0.162893	-0.007391	-0.000017	-0.001107
00046	13607467	0.221835	-9.799192	0.225153	-0.003268	0.000446	0.001039
