PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z
00001	12591667	-0.306543	9.834712	0.105204	-0.005054	0.004282	-0.004187
00002	12591717	-0.309857	9.832582	0.086745	-0.007348	0.001116	0.000226
00003	12591767	-0.292418	9.811091	0.109797	-0.002921	-0.001491	-0.001533
00004	12591817	-0.302383	9.818945	0.100133	-0.006384	-0.001092	0.000400
00005	12591867	-0.320172	9.812160	0.095179	-0.004277	0.004110	-0.000086
00006	12591917	-0.325485	9.821853	0.123945	-0.004109	0.000622	-0.002286
00007	12591967	-0.313128	9.830205	0.115410	-0.002270	0.000106	-0.001716
00008	12592017	-0.319431	9.806508	0.108042	-0.003272	0.001706	-0.000069
00009	12592067	-0.309259	9.809603	0.100391	-0.004396	0.000548	-0.002766
00010	12592117	-0.321793	9.809124	0.121266	-0.004160	0.003301	-0.002050
00011	12592167	-0.324053	9.838405	0.097741	-0.001548	0.001834	0.000053
00012	12592217	-0.317860	9.838355	0.090388	0.002101	0.002696	-0.001043
00013	12592267	-0.309109	9.833776	0.102067	-0.003580	0.002111	-0.003594
00014	12592317	-0.323671	9.827057	0.094740	0.002766	-0.001320	-0.001452
00015	12592367	-0.329561	9.835308	0.109069	-0.000773	0.001686	0.002041
00016	12592417	-0.307500	9.817010	0.098212	-0.004706	-0.000944	-0.004373
00017	12592467	-0.297996	9.803048	0.088063	-0.001990	0.001971	-0.006840
00018	12592517	-0.327596	9.807323	0.110604	-0.007725	-0.000411	-0.001831
00019	12592567	-0.322316	9.802208	0.092053	-0.003079	0.001214	-0.004496
00020	12592617	-0.322539	9.804944	0.099509	-0.005557	0.002918	-0.003196
00021	12592667	-0.299457	9.814217	0.085968	-0.004173	0.000716	-0.001838
00022	12592717	-0.292986	9.821696	0.098849	-0.002958	0.000543	-0.002965
00023	12592767	-0.308502	9.818875	0.084043	-0.003397	0.000671	0.001203
00024	12592817	-0.301139	9.834352	0.086391	-0.002582	0.002104	-0.000588
00025	12592867	-0.298403	9.836123	0.081087	-0.001854	-0.000560	0.001261
00026	12592917	-0.306091	9.818455	0.098194	-0.003111	0.001282	-0.003760
00027	12592967	-0.296324	9.824001	0.100307	-0.003798	-0.001148	-0.001979
00028	12593017	-0.281196	9.798033	0.088268	-0.002831	0.003672	-0.002889
00029	12593067	-0.303558	9.836958	0.099874	-0.004102	0.002755	0.000834
00030	12593117	-0.284746	9.816091	0.115166	-0.005645	0.000021	0.002998
00031	12593167	-0.288150	9.805292	0.089309	-0.007405	0.005954	-0.000457
00032	12593217	-0.289235	9.812697	0.100454	-0.003559	0.000503	-0.000238
00033	12593267	-0.299029	9.824434	0.084703	-0.003201	0.003517	-0.000355
00034	12593317	-0.304903	9.836134	0.122017	-0.008267	-0.001195	0.000055
00035	12593367	-0.298766	9.809807	0.095733	-0.002370	-0.000706	-0.001212
00036	12593417	-0.288500	9.846194	0.098071	-0.002392	0.001908	-0.003149
00037	12593467	-0.313603	9.860954	0.120627	0.000464	0.004835	-0.002115
00038	12593517	-0.289451	9.828208	0.109938	-0.006934	-0.001814	0.000815
00039	12593567	-0.275366	9.799089	0.116994	-0.003479	0.003251	0.000668
00040	12593617	-0.308041	9.808125	0.104952	-0.005855	0.005498	-0.000592
00041	12593667	-0.300845	9.820649	0.113390	0.000591	0.001929	-0.000018
00042	12593717	-0.310024	9.817192	0.115418	-0.003674	-0.001252	-0.005148
00043	12593767	-0.321586	9.809713	0.083179	-0.004938	0.001506	-0.003241
00044	12593817	-0.323064	9.828328	0.105412	-0.002246	0.002590	-0.001863
00045	12593867	-0.326506	9.830085	0.111970	-0.004383	0.000292	-0.001870
00046	12593917	-0.315173	9.806689	0.099870	-0.001743	-0.000370	-0.002203
00047	12593967	-0.335469	9.819004	0.115536	-0.001774	0.000692	-0.002614
00048	12594017	-0.315029	9.817684	0.094523	-0.000405	0.004012	-0.001445
00049	12594067	-0.311703	9.818329	0.132671	-0.002169	-0.000189	-0.003447
00050	12594117	-0.313829	9.817603	0.100957	-0.007999	0.000326	0.000127
00051	12594167	-0.323477	9.810425	0.081387	-0.006065	0.005077	-0.000140
00052	12594217	-0.306956	9.817017	0.098192	-0.004986	-0.001108	-0.001782
00053	12594267	-0.314983	9.828917	0.105021	-0.006693	0.004675	-0.001200
00054	12594317	-0.315937	9.784998	0.105761	-0.006472	0.001612	-0.001407
00055	12594367	-0.311739	9.801399	0.107304	-0.000855	0.000065	-0.000343
00056	12594417	-0.317770	9.831369	0.097560	-0.004635	0.001163	-0.000037
00057	12594467	-0.294980	9.825657	0.101530	-0.006707	-0.000106	-0.002122
00058	12594517	-0.295673	9.809895	0.107781	-0.004950	0.001091	-0.002188
00059	12594567	-0.303547	9.809646	0.102282	-0.003148	-0.000264	-0.000568
00060	12594617	-0.292152	9.811725	0.114909	-0.003946	0.002821	0.000352
00061	12594667	-0.275381	9.801771	0.112287	-0.004555	-0.000449	-0.001305
00062	12594717	-0.298705	9.813831	0.096150	-0.007608	0.003306	0.000136
00063	12594767	-0.300480	9.819647	0.102282	-0.005262	0.001094	0.002334
00064	12594817	-0.305093	9.816558	0.114067	-0.006695	0.003809	-0.000531
00065	12594867	-0.313971	9.808930	0.109858	-0.007037	0.001510	0.001444
00066	12594917	-0.286586	9.820210	0.107653	-0.004236	0.001586	-0.002187
00067	12594967	-0.305425	9.838090	0.117607	-0.004634	0.001029	-0.002924
00068	12595017	-0.291915	9.825353	0.108470	-0.005172	-0.000373	-0.004566
00069	12595067	-0.303118	9.827059	0.111773	-0.000918	-0.000230	-0.003967
00070	12595117	-0.274643	9.827749	0.105121	0.000574	0.001549	0.001039
00071	12595167	-0.296358	9.814995	0.099596	-0.004125	0.000399	0.002134
00072	12595217	-0.283047	9.808228	0.102944	-0.006390	0.002067	-0.002022
00073	12595267	-0.306749	9.831423	0.102757	-0.004185	0.002972	-0.003971
00074	12595317	-0.293157	9.823634	0.126862	-0.003964	0.001043	-0.002286
00075	12595367	-0.287501	9.822801	0.107948	-0.005098	-0.000327	-0.000850
00076	12595417	-0.308300	9.833841	0.098391	-0.004074	-0.004411	0.000124
00077	12595467	-0.311323	9.810920	0.121007	-0.003715	0.003435	-0.002529
00078	12595517	-0.310581	9.844414	0.103185	-0.002326	0.002235	0.000060
00079	12595567	-0.303015	9.821998	0.116845	-0.000965	-0.000154	0.002827
00080	12595617	-0.293769	9.791478	0.087621	-0.003116	0.001442	-0.003669
00081	12595667	-0.314685	9.817092	0.102219	0.001186	-0.000130	-0.004582
00082	12595717	-0.319543	9.812998	0.102993	-0.002687	0.002291	-0.002343
00083	12595767	-0.302457	9.802536	0.102247	-0.002678	0.002133	-0.000585
00084	12595817	-0.308600	9.817541	0.093308	-0.001618	0.000991	-0.000917
00085	12595867	-0.320294	9.819897	0.100618	-0.001472	0.003511	0.001761
00086	12595917	-0.317045	9.817996	0.119214	-0.001229	0.003837	-0.001508
00087	12595967	-0.315144	9.827983	0.088233	-0.007164	-0.000884	-0.002382
00088	12596017	-0.331741	9.836205	0.079369	-0.001989	0.005759	-0.000048
00089	12596067	-0.296109	9.816926	0.081795	-0.001056	0.000358	0.000457
00090	12596117	-0.320131	9.844231	0.091933	-0.009596	0.001301	-0.002266
00091	12596167	-0.307478	9.809054	0.106592	-0.004461	0.005273	0.002996
00092	12596217	-0.307772	9.832024	0.093681	-0.006332	0.001425	0.000577
00093	12596267	-0.293135	9.816723	0.113282	-0.006074	0.001466	0.001021
00094	12596317	-0.307804	9.813396	0.101879	-0.006705	-0.000066	0.000411
00095	12596367	-0.299840	9.806283	0.123295	-0.001489	0.002863	-0.001578
00096	12596417	-0.322426	9.821681	0.122067	-0.006044	0.002265	-0.001985
00097	12596467	-0.305669	9.815314	0.086166	-0.002854	0.001613	-0.000715
00098	12596517	-0.285352	9.820974	0.120492	-0.007626	0.000922	0.001539
00099	12596567	-0.291245	9.821576	0.092127	-0.004055	0.000913	-0.002285
00100	12596617	-0.309334	9.825311	0.128088	-0.003314	0.001926	-0.001514
00101	12596667	-0.301891	9.831349	0.096250	-0.003676	0.004077	-0.003775
00102	12596717	-0.293572	9.816655	0.101888	-0.000211	0.001952	-0.000561
00103	12596767	-0.314931	9.823798	0.113773	-0.002833	-0.001192	-0.000437
00104	12596817	-0.297366	9.821584	0.086620	-0.003623	0.001696	0.000282
00105	12596867	-0.297737	9.827248	0.119245	-0.002349	-0.000314	-0.001977
00106	12596917	-0.303384	9.831976	0.100115	-0.005800	0.003524	-0.003869
00107	12596967	-0.286921	9.832476	0.111556	-0.002973	0.002224	-0.001290
00108	12597017	-0.287242	9.808259	0.128285	-0.003782	0.002500	-0.001252
00109	12597067	-0.315854	9.821309	0.120527	-0.003169	0.004709	0.000680
00110	12597117	-0.302227	9.826188	0.122843	-0.003842	-0.000764	-0.002137
00111	12597167	-0.284624	9.804317	0.093501	-0.001727	0.002244	-0.001968
00112	12597217	-0.291083	9.806882	0.091427	-0.003909	-0.001733	-0.001567
00113	12597267	-0.293930	9.827673	0.110079	-0.002615	-0.000830	0.001806
00114	12597317	-0.301895	9.841545	0.096207	-0.002333	0.004694	0.002443
