PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z
00001	13767917	-0.296241	9.827169	0.122274	-0.004064	0.002048	0.000960
00002	13767967	-0.303517	9.825315	0.129468	-0.002205	0.001592	-0.002285
00003	13768017	-0.297311	9.803166	0.124458	-0.003068	0.003506	-0.004422
00004	13768067	-0.295050	9.789689	0.091986	-0.000153	0.001829	0.002806
00005	13768117	-0.291612	9.779751	0.109064	-0.004142	0.000071	-0.000530
00006	13768167	-0.295093	9.793517	0.105484	-0.004875	-0.001009	-0.000306
00007	13768217	-0.309621	9.804690	0.123337	-0.003435	0.001118	-0.001232
00008	13768267	-0.293637	9.832808	0.128033	-0.002788	0.003704	-0.004998
00009	13768317	-0.319781	9.876806	0.114974	-0.003460	-0.001243	-0.002458
00010	13768367	-0.291569	9.866656	0.119168	-0.005656	-0.000312	-0.000747
00011	13768417	-0.303951	9.857823	0.112647	-0.000619	0.003433	0.001121
00012	13768467	-0.300535	9.809842	0.103869	-0.005913	0.003459	-0.002328
00013	13768517	-0.303257	9.809011	0.109363	-0.005407	0.001597	-0.002114
00014	13768567	-0.296577	9.789297	0.085649	-0.005139	0.003317	-0.001819
00015	13768617	-0.295602	9.760820	0.102638	-0.004848	0.002255	-0.001121
00016	13768667	-0.312505	9.791854	0.107014	-0.002815	0.002643	-0.002407
00017	13768717	-0.290113	9.824877	0.090863	-0.003614	-0.000567	-0.002615
00018	13768767	-0.310089	9.824112	0.109647	-0.005315	-0.000276	-0.002834
00019	13768817	-0.316360	9.844377	0.097922	-0.004032	-0.000440	-0.002195
00020	13768867	-0.307291	9.849495	0.111802	-0.005312	0.001727	-0.002853
00021	13768917	-0.307998	9.836017	0.108479	-0.006651	-0.000393	-0.001551
00022	13768967	-0.311782	9.857020	0.096759	-0.003688	0.000114	0.000112
00023	13769017	-0.306923	9.841396	0.114530	-0.008265	0.000062	-0.002053
00024	13769067	-0.297170	9.811131	0.099980	-0.004088	0.001329	-0.001226
00025	13769117	-0.285383	9.791072	0.133687	-0.002489	-0.002382	0.001572
00026	13769167	-0.297344	9.811546	0.103943	-0.007505	0.000537	0.002018
00027	13769217	-0.295232	9.792523	0.124196	-0.003560	-0.000312	-0.003318
00028	13769267	-0.295619	9.813618	0.124659	-0.004396	-0.000634	0.002194
00029	13769317	-0.273741	9.812155	0.129595	-0.003260	-0.000200	0.000752
00030	13769367	-0.290386	9.839005	0.144275	-0.004210	-0.000673	-0.000981
00031	13769417	-0.273432	9.855833	0.128354	-0.002640	-0.000906	-0.002073
00032	13769467	-0.304410	9.872302	0.142785	-0.007614	-0.003411	-0.000983
00033	13769517	-0.308291	9.855576	0.100920	-0.001986	0.000653	-0.003345
00034	13769567	-0.293873	9.830727	0.139780	-0.004569	0.001579	-0.001833
00035	13769617	-0.290519	9.803958	0.109052	-0.003672	-0.001828	-0.002620
00036	13769667	-0.282364	9.791912	0.112369	-0.002875	0.000681	0.002260
00037	13769717	-0.296719	9.807326	0.131680	-0.004752	0.001826	-0.006730
00038	13769767	-0.280623	9.784795	0.129667	-0.005373	0.001468	-0.002791
00039	13769817	-0.305276	9.809090	0.118284	-0.004461	0.001492	0.001119
00040	13769867	-0.309368	9.826281	0.123741	-0.002372	0.000949	0.000153
00041	13769917	-0.299150	9.824903	0.097278	-0.001642	-0.002064	0.000683
00042	13769967	-0.294669	9.827982	0.117195	-0.000098	0.002900	-0.000191
00043	13770017	-0.301739	9.851788	0.090861	-0.003110	0.001871	-0.003397
00044	13770067	-0.291553	9.849046	0.107634	-0.003808	0.000568	-0.002729
00045	13770117	-0.297112	9.828650	0.102121	-0.001651	-0.000682	-0.000563
00046	13770167	-0.284555	9.813092	0.090849	-0.004434	0.005370	-0.002702
00047	13770217	-0.310061	9.810034	0.114451	-0.002744	0.000724	0.001754
00048	13770267	-0.301142	9.807100	0.081055	-0.002455	0.001369	-0.002888
00049	13770317	-0.287416	9.770983	0.096156	-0.006013	-0.000827	-0.004429
00050	13770367	-0.299205	9.804463	0.084661	-0.003454	-0.000820	-0.005748
00051	13770417	-0.301020	9.801257	0.106414	0.000066	0.001348	-0.004111
00052	13770467	-0.290167	9.819777	0.114189	-0.007496	0.000058	0.000098
00053	13770517	-0.319005	9.856764	0.077111	-0.005631	-0.001395	-0.000265
00054	13770567	-0.301166	9.849228	0.134259	-0.003108	0.001942	-0.001059
00055	13770617	-0.297327	9.867508	0.089929	-0.005135	0.002322	-0.000119
00056	13770667	-0.307501	9.824358	0.126671	-0.005717	-0.003757	-0.001753
00057	13770717	-0.284594	9.800985	0.090858	-0.003277	0.002032	-0.002146
00058	13770767	-0.306926	9.785242	0.109669	-0.005580	0.003158	-0.000882
00059	13770817	-0.293002	9.795999	0.100049	-0.004493	0.000814	-0.003237
00060	13770867	-0.297465	9.793042	0.103850	-0.004275	0.002272	-0.002591
00061	13770917	-0.306420	9.811515	0.129214	-0.003032	0.003491	-0.002332
00062	13770967	-0.290308	9.816834	0.105240	-0.004680	0.002009	-0.001884
00063	13771017	-0.301525	9.828826	0.133753	-0.003200	0.001542	-0.003944
00064	13771067	-0.287636	9.828591	0.098654	-0.008769	0.000710	-0.002011
00065	13771117	-0.304657	9.842076	0.117978	-0.002794	-0.000126	-0.003955
00066	13771167	-0.301119	9.847448	0.126414	-0.006936	0.000551	-0.000671
00067	13771217	-0.300998	9.842319	0.120591	-0.002014	0.003964	-0.000856
00068	13771267	-0.279407	9.805889	0.115635	0.000827	-0.001612	-0.004005
00069	13771317	-0.283913	9.801975	0.104394	-0.001759	0.001933	0.000475
00070	13771367	-0.282827	9.787671	0.094474	-0.004485	0.000720	-0.001702
00071	13771417	-0.297530	9.796528	0.108834	-0.003868	0.006804	-0.001095
00072	13771467	-0.286262	9.787466	0.120234	-0.000937	0.002048	0.000344
00073	13771517	-0.285126	9.816500	0.100160	-0.003689	-0.000074	-0.001612
00074	13771567	-0.306796	9.829697	0.118712	-0.002901	0.001460	-0.001314
00075	13771617	-0.306280	9.852640	0.108753	-0.006848	0.001906	-0.000212
00076	13771667	-0.301736	9.839557	0.114324	-0.001972	-0.002110	-0.003453
00077	13771717	-0.303277	9.831163	0.119295	-0.006575	0.001265	-0.001018
00078	13771767	-0.295506	9.826601	0.098018	-0.001606	0.000736	-0.002991
00079	13771817	-0.303896	9.817401	0.103473	-0.006247	0.003114	-0.000495
00080	13771867	-0.296082	9.808386	0.094122	0.000273	0.002325	0.000058
00081	13771917	-0.291396	9.796254	0.115508	-0.001827	0.006863	-0.002770
00082	13771967	-0.290809	9.797110	0.091028	-0.000834	0.001524	-0.003723
00083	13772017	-0.319413	9.807884	0.123658	-0.005816	-0.000621	-0.000900
00084	13772067	-0.305582	9.809802	0.102463	-0.005900	0.000919	-0.003427
00085	13772117	-0.291771	9.821437	0.097803	-0.004876	0.003267	-0.001237
00086	13772167	-0.308160	9.836129	0.100732	-0.001843	0.000352	-0.000488
00087	13772217	-0.286321	9.832775	0.104917	-0.001927	0.005025	-0.001396
00088	13772267	-0.304437	9.834407	0.108006	-0.006548	0.003492	-0.001712
00089	13772317	-0.303318	9.846282	0.092574	-0.003877	0.002957	-0.002014
00090	13772367	-0.296289	9.814878	0.104281	-0.003067	0.001552	-0.002503
00091	13772417	-0.311904	9.803091	0.117645	-0.005376	0.000838	0.000038
00092	13772467	-0.312667	9.803815	0.115710	-0.006644	0.002559	-0.000786
00093	13772517	-0.305872	9.799100	0.119464	-0.004943	0.000364	0.001471
00094	13772567	-0.293423	9.776895	0.108136	-0.003292	0.000612	-0.000998
00095	13772617	-0.299278	9.811669	0.125197	-0.003713	0.003801	-0.001815
00096	13772667	-0.299144	9.828237	0.112256	-0.005718	0.000215	-0.002820
00097	13772717	-0.297120	9.837050	0.111532	-0.004376	0.002629	-0.000953
00098	13772767	-0.294354	9.834702	0.127730	-0.002098	0.003278	-0.003074
00099	13772817	-0.276475	9.831878	0.109676	-0.001983	0.000704	-0.000199
00100	13772867	-0.313561	9.833887	0.134570	-0.002599	0.001080	0.000861
00101	13772917	-0.298012	9.812561	0.114437	-0.006655	-0.000418	-0.001670
00102	13772967	-0.298570	9.809422	0.102173	-0.003597	0.000222	0.000313
00103	13773017	-0.294311	9.781063	0.129246	-0.005328	0.002357	0.000457
00104	13773067	-0.289047	9.791460	0.105535	-0.003835	0.001609	-0.000095
00105	13773117	-0.299485	9.826322	0.097812	-0.003525	0.002067	-0.000189
00106	13773167	-0.297175	9.828970	0.097078	-0.002781	0.000621	-0.001227
00107	13773217	-0.278829	9.815823	0.087519	-0.006136	-0.000729	-0.002184
00108	13773267	-0.312071	9.837526	0.099644	-0.004573	0.001524	-0.003557
00109	13773317	-0.312021	9.856079	0.127271	-0.007997	0.001558	-0.004218
00110	13773367	-0.303495	9.841099	0.105224	-0.002829	0.001429	0.000060
00111	13773417	-0.292517	9.817916	0.110089	-0.004579	0.002980	-0.000118
00112	13773467	-0.277075	9.817105	0.097844	-0.007022	0.000492	0.003942
00113	13773517	-0.282038	9.810982	0.091078	-0.003973	-0.001876	0.002513
00114	13773567	-0.296421	9.809656	0.104325	-0.004534	0.003631	0.000077
00115	13773617	-0.326510	9.803672	0.113523	-0.001556	0.001123	-0.002696
00116	13773667	-0.290604	9.800862	0.109931	-0.001296	0.002497	0.000668
00117	13773717	-0.294977	9.808587	0.097556	-0.000585	0.005183	-0.000341
00118	13773767	-0.310359	9.822421	0.126447	-0.003925	-0.001623	-0.001041
