PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z
00001	12772917	-0.139604	0.218469	-9.836346	-0.001878	0.001447	-0.002152
00002	12772967	-0.135005	0.216990	-9.807372	-0.006726	0.001173	-0.001209
00003	12773017	-0.132473	0.236223	-9.831362	0.000025	0.001902	-0.001895
00004	12773067	-0.134643	0.235224	-9.799944	-0.008094	-0.002082	-0.001445
00005	12773117	-0.150605	0.231560	-9.782611	-0.005245	0.000875	-0.001436
00006	12773167	-0.161003	0.253668	-9.796227	-0.003398	0.003935	-0.005557
00007	12773217	-0.161243	0.238266	-9.839365	-0.006004	0.003739	0.000376
00008	12773267	-0.105750	0.211879	-9.827891	-0.001990	0.002996	-0.001630
00009	12773317	-0.124048	0.215755	-9.815097	-0.003839	-0.000492	-0.003533
00010	12773367	-0.139098	0.215321	-9.809267	-0.006457	-0.000206	0.000932
00011	12773417	-0.140718	0.224689	-9.786733	-0.007213	0.001486	0.000492
00012	12773467	-0.136418	0.223184	-9.811683	-0.004579	0.001983	-0.001597
00013	12773517	-0.129644	0.216610	-9.793978	-0.005849	0.001738	-0.000406
00014	12773567	-0.138807	0.215818	-9.802318	-0.001808	0.001356	-0.000550
00015	12773617	-0.132134	0.197155	-9.825117	-0.006428	-0.000633	-0.003812
00016	12773667	-0.141628	0.218400	-9.815005	-0.004262	0.000984	-0.002944
00017	12773717	-0.119542	0.229193	-9.828544	-0.008947	0.003650	-0.001124
00018	12773767	-0.149542	0.236377	-9.820485	-0.002835	-0.000668	-0.001933
00019	12773817	-0.143947	0.234073	-9.817873	-0.004347	0.002599	-0.002168
00020	12773867	-0.147903	0.219179	-9.821447	-0.005282	-0.001290	-0.002440
00021	12773917	-0.137614	0.214400	-9.814308	-0.002172	0.001404	-0.004970
00022	12773967	-0.141183	0.210039	-9.794874	-0.005347	0.001165	-0.000637
00023	12774017	-0.142092	0.201658	-9.818113	-0.007066	0.003681	-0.003628
00024	12774067	-0.138413	0.196322	-9.825082	-0.005116	0.003879	-0.002126
00025	12774117	-0.146820	0.222122	-9.814506	-0.003582	-0.001653	-0.004850
00026	12774167	-0.157916	0.226716	-9.812291	-0.005635	0.003931	-0.003407
00027	12774217	-0.134813	0.213099	-9.797786	-0.007303	0.001425	0.000527
00028	12774267	-0.138368	0.237420	-9.819108	-0.003256	-0.002418	-0.000273
00029	12774317	-0.131794	0.220378	-9.798284	-0.003069	0.000653	-0.001924
00030	12774367	-0.136463	0.241515	-9.827503	-0.007687	-0.001945	-0.001444
00031	12774417	-0.135713	0.240862	-9.821275	-0.003725	0.001023	-0.002594
00032	12774467	-0.150998	0.226311	-9.816876	-0.002675	0.003567	-0.000723
00033	12774517	-0.138353	0.219432	-9.798012	-0.004856	0.004753	-0.001771
00034	12774567	-0.145136	0.225601	-9.795339	-0.002600	0.005310	-0.001583
