PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z
00001	13938867	-0.113531	0.211959	-9.817544	-0.004430	0.001722	0.000086
00002	13938917	-0.129818	0.207929	-9.819138	-0.003445	0.004867	-0.002147
00003	13938967	-0.138289	0.225533	-9.845222	-0.002590	0.002073	-0.001906
00004	13939017	-0.120173	0.212714	-9.842916	-0.005849	-0.001980	0.001737
00005	13939067	-0.143712	0.222722	-9.814514	-0.005069	0.000610	-0.002158
00006	13939117	-0.122813	0.207742	-9.817256	-0.001547	0.000121	-0.004386
00007	13939167	-0.118407	0.235122	-9.804353	-0.001635	0.002319	-0.001618
00008	13939217	-0.123872	0.218810	-9.808389	-0.004476	0.003406	0.002404
00009	13939267	-0.111613	0.232163	-9.805335	-0.004125	-0.001723	0.001606
00010	13939317	-0.119735	0.225967	-9.820875	-0.005500	-0.002439	-0.005189
00011	13939367	-0.144994	0.246097	-9.809959	-0.005755	0.000987	-0.001033
00012	13939417	-0.126296	0.200768	-9.805258	-0.008092	0.002944	-0.002526
00013	13939467	-0.122766	0.221701	-9.809832	-0.006244	0.000101	-0.003189
00014	13939517	-0.141811	0.234437	-9.802073	-0.005700	-0.002119	-0.005862
00015	13939567	-0.162688	0.245322	-9.826422	-0.002860	0.001947	0.001111
00016	13939617	-0.135875	0.220675	-9.814318	-0.005679	-0.000204	0.001011
00017	13939667	-0.143015	0.235555	-9.800141	-0.007101	-0.000580	0.001845
00018	13939717	-0.125234	0.230210	-9.813663	-0.002277	0.000209	-0.001977
00019	13939767	-0.183014	0.247721	-9.796349	-0.004335	-0.001049	0.002093
00020	13939817	-0.146057	0.220479	-9.810680	-0.004785	0.002288	-0.005642
00021	13939867	-0.157322	0.235396	-9.801993	-0.004561	-0.000388	-0.003191
00022	13939917	-0.149961	0.225028	-9.803463	-0.004619	0.002716	-0.001059
00023	13939967	-0.141044	0.208229	-9.814050	-0.005037	0.004742	-0.001593
00024	13940017	-0.144858	0.224257	-9.826019	-0.004233	0.000132	-0.005046
00025	13940067	-0.154639	0.219702	-9.817100	-0.003041	-0.000940	-0.004288
00026	13940117	-0.149104	0.225356	-9.837260	-0.004428	0.001491	-0.001993
00027	13940167	-0.154262	0.229294	-9.810876	-0.001749	0.001629	-0.003956
00028	13940217	-0.134863	0.203577	-9.819837	-0.001642	0.000508	-0.002684
00029	13940267	-0.147642	0.216943	-9.785017	-0.002233	0.000181	0.000972
00030	13940317	-0.149204	0.228228	-9.800354	-0.001547	-0.002524	-0.001383
00031	13940367	-0.125661	0.206316	-9.831382	-0.005209	0.003126	-0.001699
00032	13940417	-0.134903	0.209509	-9.830381	-0.003642	0.000054	-0.001398
00033	13940467	-0.113630	0.214900	-9.824497	-0.005774	-0.001603	-0.004254
00034	13940517	-0.120448	0.199660	-9.812235	-0.005773	0.003990	0.000198
00035	13940567	-0.122194	0.218920	-9.823976	-0.000661	0.000522	-0.003900
00036	13940617	-0.106662	0.234050	-9.814711	-0.003061	0.000839	-0.002424
00037	13940667	-0.126260	0.227851	-9.804066	-0.001851	-0.002177	-0.002473
00038	13940717	-0.125678	0.219401	-9.819165	-0.001624	0.004224	-0.000704
00039	13940767	-0.130241	0.216294	-9.810275	-0.000095	0.003217	-0.002158
00040	13940817	-0.124431	0.209841	-9.812458	-0.004230	0.004728	0.001033
00041	13940867	-0.129065	0.223093	-9.816267	-0.004141	0.005052	0.000811
00042	13940917	-0.142828	0.230672	-9.810452	-0.003783	0.002409	-0.002695
00043	13940967	-0.149241	0.218834	-9.801552	-0.004525	-0.000343	0.000755
00044	13941017	-0.145226	0.230736	-9.815230	-0.005449	0.000903	0.002751
00045	13941067	-0.132855	0.225326	-9.817452	-0.008503	-0.000772	0.001178
00046	13941117	-0.140343	0.225366	-9.830592	-0.004811	-0.000685	-0.003545
00047	13941167	-0.137361	0.246093	-9.834206	-0.005783	0.004081	-0.002459
00048	13941217	-0.151125	0.235135	-9.795798	-0.004567	0.000007	-0.001105
00049	13941267	-0.115865	0.223475	-9.813943	-0.003655	0.000507	-0.000657
00050	13941317	-0.142681	0.219671	-9.817161	-0.005064	0.001878	0.001629
00051	13941367	-0.150158	0.224052	-9.834376	-0.002331	0.003880	-0.005415
00052	13941417	-0.159430	0.222504	-9.807489	-0.001731	0.002580	0.001337
00053	13941467	-0.143845	0.213529	-9.809004	-0.003006	0.001062	-0.002996
00054	13941517	-0.139659	0.240057	-9.815984	-0.003894	0.000788	-0.002831
00055	13941567	-0.154947	0.232646	-9.811592	-0.004353	0.005199	-0.005691
00056	13941617	-0.167328	0.228438	-9.808890	-0.003108	0.002451	-0.001254
00057	13941667	-0.145986	0.214297	-9.808752	-0.005335	0.003792	-0.005892
00058	13941717	-0.137943	0.224459	-9.818146	-0.005127	-0.000752	-0.003832
00059	13941767	-0.140598	0.221610	-9.805190	-0.003328	0.003484	-0.000768
00060	13941817	-0.131468	0.232771	-9.829683	-0.004556	0.003947	-0.000732
00061	13941867	-0.140391	0.226432	-9.812382	-0.002905	0.004067	-0.003074
00062	13941917	-0.140090	0.235906	-9.807834	-0.005023	0.001223	-0.001997
00063	13941967	-0.131144	0.221811	-9.813154	-0.002906	-0.001969	-0.001186
00064	13942017	-0.131887	0.214081	-9.820804	-0.002593	0.001302	-0.000818
00065	13942067	-0.144209	0.222942	-9.803010	-0.004517	0.002626	-0.000384
00066	13942117	-0.133003	0.218092	-9.795160	-0.000934	0.002290	-0.003445
00067	13942167	-0.125240	0.222680	-9.826596	-0.006557	0.002363	0.000448
00068	13942217	-0.131693	0.236247	-9.828484	-0.003703	-0.001014	-0.002043
00069	13942267	-0.129927	0.214182	-9.823693	-0.002681	0.003041	-0.000740
00070	13942317	-0.125652	0.226135	-9.817490	-0.008735	0.000352	0.000286
00071	13942367	-0.137535	0.207844	-9.814306	-0.006485	0.001773	-0.003494
00072	13942417	-0.138586	0.218612	-9.823892	-0.004130	0.000107	-0.001876
00073	13942467	-0.133647	0.225193	-9.826070	-0.007804	0.002309	-0.000637
00074	13942517	-0.139234	0.220951	-9.806877	-0.004555	-0.000217	0.000878
00075	13942567	-0.111608	0.217392	-9.825221	-0.009118	0.004414	-0.000013
00076	13942617	-0.135823	0.233316	-9.831337	-0.007639	0.003278	0.001036
00077	13942667	-0.129253	0.232927	-9.815311	-0.008264	0.002914	0.001291
00078	13942717	-0.127259	0.224013	-9.810521	-0.006671	0.001939	-0.000099
00079	13942767	-0.152019	0.237602	-9.835097	-0.006240	0.002529	0.000738
00080	13942817	-0.131867	0.210300	-9.815534	-0.007524	0.000307	-0.001127
00081	13942867	-0.144037	0.224775	-9.806132	-0.006910	0.001518	0.001381
00082	13942917	-0.130482	0.231905	-9.815551	-0.006772	0.000770	-0.001448
00083	13942967	-0.120356	0.222031	-9.812960	-0.005778	0.001725	-0.001062
00084	13943017	-0.146039	0.223023	-9.809237	-0.003012	0.002485	-0.002025
00085	13943067	-0.155161	0.246503	-9.831243	-0.004479	0.001268	-0.001098
00086	13943117	-0.130846	0.227643	-9.824408	-0.001033	0.001885	0.003032
00087	13943167	-0.135257	0.220121	-9.821032	-0.008076	0.001718	-0.001889
00088	13943217	-0.123861	0.225426	-9.823725	-0.005515	0.002799	0.000418
00089	13943267	-0.147737	0.237775	-9.815701	-0.003538	0.000630	-0.004050
00090	13943317	-0.125820	0.224238	-9.820122	-0.005481	0.000670	0.001465
00091	13943367	-0.152555	0.217904	-9.806570	-0.002031	-0.001369	-0.000832
00092	13943417	-0.143850	0.213328	-9.811164	-0.004510	0.001400	-0.000138
00093	13943467	-0.137847	0.229672	-9.818625	-0.003730	0.000990	0.000180
00094	13943517	-0.146227	0.219257	-9.814506	-0.003920	0.001797	-0.000969
00095	13943567	-0.134265	0.232163	-9.822243	-0.004391	0.000754	0.000662
00096	13943617	-0.144077	0.229390	-9.802055	-0.005444	0.001543	-0.000135
00097	13943667	-0.127962	0.207556	-9.820109	-0.006290	0.002814	-0.003490
00098	13943717	-0.133303	0.234143	-9.810740	-0.005191	0.003809	0.001094
