PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z
00001	13003417	0.044501	0.060628	9.807418	-0.005313	0.002249	0.000490
00002	13003467	0.034847	0.052960	9.810108	-0.002332	-0.001646	-0.003960
00003	13003517	0.033103	0.065323	9.791901	-0.002939	-0.000361	-0.002448
00004	13003567	0.033973	0.075564	9.780395	-0.006805	0.000472	-0.001504
00005	13003617	0.056253	0.074742	9.802085	-0.001510	0.001919	-0.003531
00006	13003667	0.029182	0.078620	9.817319	-0.002741	0.002941	0.001036
00007	13003717	0.056045	0.074462	9.801372	-0.002880	-0.001162	-0.000819
00008	13003767	0.039783	0.086152	9.814386	-0.001890	0.003246	0.000423
00009	13003817	0.059823	0.056078	9.826040	-0.004942	0.003344	-0.002810
00010	13003867	0.060198	0.071045	9.826030	-0.003268	0.000116	0.000437
00011	13003917	0.042026	0.068506	9.836428	-0.002778	0.002975	0.001447
00012	13003967	0.077479	0.062031	9.821876	-0.004993	0.000862	-0.000037
00013	13004017	0.059572	0.055674	9.814066	-0.000656	-0.001840	-0.002238
00014	13004067	0.072409	0.041725	9.797217	-0.004509	0.001840	0.000994
00015	13004117	0.071095	0.059529	9.787636	-0.008705	-0.000847	0.001761
00016	13004167	0.063856	0.056669	9.783110	-0.007296	0.005049	-0.001063
00017	13004217	0.070206	0.053319	9.784046	-0.002504	0.000936	-0.002186
00018	13004267	0.063616	0.058023	9.792942	-0.005483	0.002439	0.001095
00019	13004317	0.048394	0.047530	9.816996	-0.004919	0.001770	0.000676
00020	13004367	0.071264	0.039763	9.825989	-0.004399	0.004420	-0.001813
00021	13004417	0.078203	0.024952	9.842963	-0.004982	0.003570	-0.001817
00022	13004467	0.063830	0.034308	9.837275	-0.005476	0.003686	-0.005658
00023	13004517	0.040998	0.063828	9.818939	-0.003728	0.002174	-0.003906
00024	13004567	0.060144	0.026022	9.806154	-0.004090	0.001490	-0.002339
00025	13004617	0.056099	0.042045	9.799935	-0.000904	0.004029	-0.002689
00026	13004667	0.041128	0.037008	9.784193	-0.004093	0.000878	0.000253
00027	13004717	0.047279	0.034237	9.794000	0.000336	0.000981	-0.004660
00028	13004767	0.054194	0.012415	9.786288	-0.006332	0.003875	-0.001232
00029	13004817	0.073987	0.029571	9.804407	-0.003187	0.000111	-0.003538
00030	13004867	0.041317	0.037938	9.819180	-0.003407	0.002344	-0.001246
00031	13004917	0.052361	0.023601	9.834707	-0.004271	0.002161	-0.003717
00032	13004967	0.047362	0.034116	9.810767	-0.002997	0.004807	0.001010
00033	13005017	0.043368	0.035552	9.805034	-0.005438	0.000753	-0.002756
00034	13005067	0.062091	0.042039	9.804945	-0.000320	0.002619	-0.004040
00035	13005117	0.044928	0.042895	9.802629	-0.006863	0.003543	0.001077
00036	13005167	0.050044	0.037305	9.800680	-0.005602	0.001785	-0.002209
00037	13005217	0.054546	0.028690	9.783409	-0.003932	0.002688	-0.001436
00038	13005267	0.031809	0.053093	9.783033	-0.003771	0.003591	-0.003193
00039	13005317	0.065358	0.053926	9.790776	-0.000334	0.003266	-0.002467
00040	13005367	0.057213	0.054981	9.828207	-0.005474	0.004016	-0.002354
00041	13005417	0.058841	0.044823	9.815501	-0.003351	0.004669	-0.001139
00042	13005467	0.053812	0.065955	9.826545	-0.004832	0.000831	-0.002083
00043	13005517	0.065058	0.070702	9.832239	-0.005397	-0.003733	-0.002912
00044	13005567	0.050015	0.079635	9.830875	-0.002222	0.001198	-0.002217
00045	13005617	0.053166	0.061041	9.817193	-0.006350	0.004385	-0.002126
00046	13005667	0.069399	0.053775	9.805139	-0.007545	0.000687	-0.001597
00047	13005717	0.054607	0.068594	9.808328	-0.004588	0.002193	-0.000861
00048	13005767	0.063011	0.075550	9.792703	-0.006422	0.000416	-0.001891
00049	13005817	0.062567	0.074213	9.808767	-0.003910	0.002076	-0.001536
00050	13005867	0.060606	0.064037	9.804465	-0.003486	0.003958	-0.001012
00051	13005917	0.062214	0.070575	9.812362	-0.003556	0.001248	0.001598
00052	13005967	0.064570	0.047421	9.784315	-0.007392	0.000754	-0.002462
00053	13006017	0.081615	0.052360	9.836713	-0.005750	-0.000541	-0.001451
00054	13006067	0.069106	0.047877	9.841570	-0.004081	0.003526	-0.000376
00055	13006117	0.067632	0.055184	9.795797	-0.003774	0.004047	0.000651
00056	13006167	0.066526	0.048951	9.803239	-0.001063	0.002062	-0.000488
