PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z
00001	14100417	0.047268	0.062813	9.773066	-0.006285	0.001442	0.000022
00002	14100467	0.063051	0.038132	9.786897	-0.005385	-0.000001	-0.002072
00003	14100517	0.052083	0.056913	9.789104	-0.005836	-0.001682	0.000484
00004	14100567	0.045086	0.043436	9.820775	-0.002136	0.001968	0.000878
00005	14100617	0.045283	0.065076	9.823884	-0.006449	-0.000564	-0.000791
00006	14100667	0.052643	0.060762	9.834874	-0.005567	0.000635	-0.004889
00007	14100717	0.064967	0.050315	9.833861	-0.004043	-0.001549	0.002241
00008	14100767	0.039191	0.034316	9.823689	-0.002231	0.001503	-0.004191
00009	14100817	0.043280	0.035033	9.816721	-0.001077	0.001468	-0.001817
00010	14100867	0.060044	0.032895	9.804641	-0.003918	0.002681	0.001401
00011	14100917	0.059864	0.028508	9.797214	-0.003146	0.003402	0.001305
00012	14100967	0.032405	0.042906	9.792082	-0.004513	0.002087	0.000758
00013	14101017	0.033835	0.043518	9.797592	-0.007363	-0.001065	-0.001238
00014	14101067	0.050812	0.013419	9.799186	-0.003462	-0.000093	-0.001915
00015	14101117	0.032822	0.026057	9.798556	-0.002971	0.000860	0.000905
00016	14101167	0.051676	0.030826	9.810196	-0.002627	0.003955	-0.002697
00017	14101217	0.038860	0.044336	9.831355	-0.003979	-0.000679	-0.000283
00018	14101267	0.058373	0.022223	9.837741	-0.001129	-0.000926	-0.002024
00019	14101317	0.068789	0.016857	9.820422	-0.005218	0.000676	-0.003641
00020	14101367	0.064955	0.042667	9.802939	-0.005591	0.001546	-0.002158
00021	14101417	0.051463	0.043798	9.795581	-0.005118	-0.000286	-0.002651
00022	14101467	0.029017	0.031099	9.801689	-0.005596	-0.002196	0.000387
00023	14101517	0.038225	0.039442	9.782948	-0.010012	-0.000245	-0.001355
00024	14101567	0.070264	0.013058	9.779676	-0.002543	-0.001018	-0.004299
00025	14101617	0.078030	0.022100	9.780592	-0.005755	-0.000560	-0.002559
00026	14101667	0.050270	0.033377	9.810452	-0.003093	0.001462	-0.003158
00027	14101717	0.069013	0.027559	9.810596	-0.001622	-0.001278	0.001372
00028	14101767	0.060871	0.068109	9.829797	-0.003219	0.001719	-0.000244
00029	14101817	0.073253	0.048461	9.828062	-0.000023	0.003507	-0.004701
00030	14101867	0.063892	0.054839	9.831704	-0.003967	0.001896	-0.002324
00031	14101917	0.072090	0.053623	9.826872	-0.002245	0.000028	-0.000156
00032	14101967	0.046627	0.043000	9.764442	-0.007984	0.001376	-0.001543
00033	14102017	0.050241	0.042230	9.804935	-0.005776	-0.000651	-0.000439
00034	14102067	0.033708	0.059143	9.776735	-0.000560	0.002513	0.000430
00035	14102117	0.036261	0.059879	9.789179	-0.004263	0.002185	-0.001705
00036	14102167	0.032250	0.043307	9.813412	-0.005415	0.001392	-0.000013
00037	14102217	0.058573	0.056555	9.819270	-0.003888	0.000872	0.003250
00038	14102267	0.040358	0.045105	9.813131	-0.004280	-0.000436	-0.003458
00039	14102317	0.054430	0.047113	9.834864	-0.003243	0.003295	-0.003024
00040	14102367	0.042889	0.052163	9.814079	-0.004992	0.001879	-0.001934
00041	14102417	0.049061	0.044629	9.832026	-0.007188	0.000614	-0.002740
00042	14102467	0.043289	0.041613	9.808328	-0.005498	-0.000454	-0.001238
00043	14102517	0.050060	0.053211	9.801103	-0.002572	0.000346	0.000485
00044	14102567	0.040889	0.057597	9.790841	-0.002289	-0.001857	-0.003145
00045	14102617	0.059016	0.037568	9.774937	-0.004581	0.000117	0.001129
00046	14102667	0.066726	0.043015	9.796221	-0.005684	-0.001520	-0.000475
00047	14102717	0.050028	0.032515	9.807814	-0.001961	0.002391	0.000335
00048	14102767	0.043386	0.031892	9.804482	-0.006477	0.002337	-0.002668
00049	14102817	0.058549	0.027750	9.839411	-0.007230	-0.001225	-0.000536
00050	14102867	0.066693	0.005005	9.822350	-0.003684	0.002233	0.000821
00051	14102917	0.060142	0.022042	9.825981	-0.006843	-0.000449	-0.002614
00052	14102967	0.045761	0.037548	9.829642	-0.004928	0.002308	0.002013
00053	14103017	0.038942	0.037233	9.814095	-0.004867	0.003877	-0.004297
00054	14103067	0.055072	0.030291	9.797724	-0.005888	0.003961	-0.002595
00055	14103117	0.058960	0.033737	9.789560	-0.006559	0.000786	-0.002418
00056	14103167	0.072486	0.025343	9.775820	-0.007765	0.002508	-0.001572
00057	14103217	0.061361	0.022899	9.775884	-0.004940	0.001070	-0.003352
00058	14103267	0.059877	0.037314	9.780436	-0.003719	0.003195	-0.001002
00059	14103317	0.060136	0.032909	9.819742	-0.004657	0.004566	-0.000959
00060	14103367	0.060731	0.031303	9.813033	-0.006096	0.002474	-0.001193
00061	14103417	0.056478	0.032396	9.820485	-0.003571	-0.000616	-0.003010
00062	14103467	0.068161	0.041309	9.836727	-0.003500	-0.000806	-0.001766
00063	14103517	0.058486	0.048104	9.832446	-0.004323	0.002120	-0.000845
00064	14103567	0.056716	0.038460	9.798908	-0.001592	0.000556	-0.001182
00065	14103617	0.064571	0.044279	9.824033	-0.004671	0.001916	-0.001166
00066	14103667	0.062173	0.040431	9.794081	-0.002743	0.001929	0.002130
00067	14103717	0.038931	0.062116	9.769274	-0.004309	0.001831	-0.000043
00068	14103767	0.043061	0.057639	9.773328	-0.003728	0.000287	-0.001752
00069	14103817	0.045317	0.075246	9.789852	-0.002011	0.003202	0.002554
00070	14103867	0.041451	0.053172	9.798025	-0.004968	0.004566	0.000679
00071	14103917	0.056195	0.058966	9.831017	-0.004765	0.003950	-0.002275
